restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,city
Shisha Jazz Cafe,Restaurant,"Iranian, North Indian, Continental",4.1,2000.0,Mundhwa,Pune
UFO Fries & Corn,Restaurant,Fast Food,4.2,700.0,Wakad,Pune
Garden Vada Pav Centre,Restaurant,Street Food,4.3,100.0,Camp Area,Pune
Masaledar Biryani House,Restaurant,"Biryani, Maharashtrian",3.7,200.0,Sadashiv Peth,Pune
Zinq- The Club Lounge,Restaurant,"European, North Indian, Chinese, Bar Food",0.0,1700.0,Magarpatta,Pune
The Chocolate Room,Restaurant,"Cafe, Bakery, Fast Food",3.9,700.0,Viman Nagar,Pune
YOLO Gastro Lounge,Restaurant,"North Indian, Continental, Pizza, Finger Food, Bar Food, European",3.8,1600.0,Pimple Saudagar,Pune
Upsouth,Restaurant,South Indian,4.4,400.0,Aundh,Pune
Latitude - Blue Diamond,Restaurant,"North Indian, Mediterranean, Italian, European, South Indian, Salad",4.2,2000.0,Koregaon Park,Pune
Hotel Sangrilla,Restaurant,"North Indian, Chinese, Seafood",4.4,550.0,Ravet,Pune
Zeta - Hyatt Regency Pune,Restaurant,"European, Continental, Healthy Food, Italian, Salad, Beverages",4.9,2000.0,Viman Nagar,Pune
Cold Stone Creamery,Restaurant,"Bakery, Desserts",4.2,400.0,Viman Nagar,Pune
The Fish Thali,Restaurant,"Maharashtrian, Seafood",4.2,350.0,Shivaji Nagar,Pune
Cream Craver,Restaurant,"North Indian, Chinese, Beverages",4.2,650.0,Camp Area,Pune
Natural Ice Cream,Restaurant,"Ice Cream, Desserts",4.4,150.0,Kothrud,Pune
D Palace,Restaurant,"North Indian, Chinese, Seafood, Mughlai",4.0,1200.0,Bavdhan,Pune
New Sarovar,Restaurant,"North Indian, Chinese",3.7,800.0,Bhugaon,Pune
Maratha Samrat,Restaurant,Maharashtrian,4.2,1100.0,Baner,Pune
Drinx Exchange,Restaurant,"Italian, Mexican, Chinese, North Indian, Desserts",3.9,1300.0,Kharadi,Pune
Pune Bowl Company,Restaurant,"North Indian, Chinese",3.8,350.0,Pimple Nilakh,Pune
Cake N Cafe,Restaurant,"Bakery, North Indian",3.5,200.0,Hadapsar,Pune
Shakahari - JW Marriott Pune,Restaurant,"Rajasthani, Gujarati, North Indian",4.2,2500.0,Senapati Bapat Road,Pune
